raw_field,raw_value,observed_count,semantic_meaning,source,channel,label_role,included_or_excluded,reason
construct_target,late_or_missing_financial_report,84,construct taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,not an independent channel or label layer
construct_target,other_or_review,81,construct taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,not an independent channel or label layer
construct_target,governance_or_managerial_violation,51,construct taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,not an independent channel or label layer
construct_target,securities_intermediary_violation,38,construct taxonomy subtype,sanction_evidence,S3,separate_outcome_candidate,not_operationalized_as_separate_outcome,no locked endpoint definition
construct_target,offering_or_issuance_violation,36,construct taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,not an independent channel or label layer
construct_target,financial_statement_misstatement_proxy,11,construct taxonomy subtype,sanction_evidence,S3,weak_evidence_taxonomy,included_as_provenance,direct event remains S3 hard positive but proxy subtype is not a separate label
construct_target,market_conduct_violation,1,construct taxonomy subtype,sanction_evidence,S3,separate_outcome_candidate,not_operationalized_as_separate_outcome,no locked securities-manipulation endpoint definition
construct_target,audit_or_reporting_quality_proxy,1,construct taxonomy subtype,sanction_evidence,S3,weak_evidence_taxonomy,included_as_provenance,not a separate S1 or S2 observation
has_fine,True,523,sanction severity component,sanction_evidence,S3,severity_quality_input,included_as_provenance,never converted to label or score
has_fine,False,12,sanction severity component,sanction_evidence,S3,severity_quality_input,included_as_provenance,false is not an explicit negative
has_suspension,True,5,sanction severity component,sanction_evidence,S3,severity_quality_input,included_as_provenance,never converted to label or score
has_warning,True,7,sanction severity component,sanction_evidence,S3,severity_quality_input,included_as_provenance,never converted to label or score
has_remedy,True,59,sanction severity component,sanction_evidence,S3,severity_quality_input,included_as_provenance,never converted to label or score
has_other_sanction,True,19,sanction severity component,sanction_evidence,S3,severity_quality_input,included_as_provenance,never converted to label or score
audit_status,audited,1033471,before-after statement state,financial_statement_core_long,S1,separate_outcome_input,not_operationalized_as_label,requires locked adjustment definition materiality rule availability and opportunity semantics
audit_status,unaudited,705775,before-after statement state,financial_statement_core_long,S1,separate_outcome_input,not_operationalized_as_label,requires matched pair and locked adjustment endpoint
audit_opinion_raw,Chấp nhận toàn phần,17370,audit opinion category,audit_annual_long,S2,separate_outcome_candidate,not_operationalized_as_label,no source availability date or locked positive negative unknown mapping
audit_opinion_raw,Ý kiến ngoại trừ,2039,audit opinion category,audit_annual_long,S2,separate_outcome_candidate,not_operationalized_as_label,no source availability date or locked endpoint mapping
audit_opinion_raw,Từ chối ra ý kiến,395,audit opinion category,audit_annual_long,S2,separate_outcome_candidate,not_operationalized_as_label,no source availability date or locked endpoint mapping
audit_opinion_raw,Ý kiến trái ngược,16,audit opinion category,audit_annual_long,S2,separate_outcome_candidate,not_operationalized_as_label,no source availability date or locked endpoint mapping
audit_opinion_raw where audit_indicator=audit_opinion,<blank>,316,missing audit opinion,audit_annual_long,S2,missing,excluded_from_label,missing is not explicit negative
audit_firm_raw where audit_indicator=audit_firm,<blank>,0,missing audit firm,audit_annual_long,S2,missing,excluded_from_label,current source has no missing audit-firm value in firm rows and config still prohibits zero encoding
known_cases,K1_K4_configured_ids,4,sealed known-case identifiers,known_cases,known_case,sealed_known_case,intentionally_unavailable,no source binding or case data exists and access stays sealed until P15
requested_label_layer,FSF_STRICT,0,requested taxonomy layer,not_present,not_assigned,separate_outcome_candidate,intentionally_unavailable,not found in current raw source catalog config or artifacts
requested_label_layer,FSF_PROSECUTED,0,requested taxonomy layer,not_present,not_assigned,separate_outcome_candidate,intentionally_unavailable,not found in current raw source catalog config or artifacts
requested_label_layer,REGULATORY_FS_MISSTATEMENT,0,requested taxonomy layer,not_present,not_assigned,separate_outcome_candidate,intentionally_unavailable,not found in current raw source catalog config or artifacts
requested_label_layer,SECURITIES_MANIPULATION,0,requested taxonomy layer,not_present,not_assigned,separate_outcome_candidate,intentionally_unavailable,not found in current raw source catalog config or artifacts
requested_label_layer,HIGH_SUSPICION,0,requested taxonomy layer,not_present,not_assigned,weak_evidence,intentionally_unavailable,not found in current raw source catalog config or artifacts
