catalogue_no,feature_id,feature_name_en,feature_name_vi,feature_block,feature_subblock,specification_tier,selection_origin,recommended_role,supporting_studies,source_location,formula_or_definition,required_raw_concepts,time_requirement,pu_role,expected_dtype,target_component_risk,catalogue_status,mapping_status,candidate_data_source,candidate_columns,source_authorization,coverage_overall,paired_two_year_coverage,coverage_by_year,coverage_by_board,coverage_by_industry,coverage_by_fold,denominator_diagnostics,temporal_eligibility,target_specific_leakage_decision,final_researcher_decision,decision_reason,notes
11,dechow_change_receivables,Change in Receivables,Thay đổi khoản phải thu,Canonical models,Dechow Model 1/F-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved mapping,DEC2011; BUI2021,DEC2011 Table 3 and Model 1; BUI2021 Table 1,ΔAccounts receivable / Average total assets,accounts receivable; total assets,At least t and t-1; change ROA requires t-2,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
12,dechow_change_inventory,Change in Inventory,Thay đổi hàng tồn kho,Canonical models,Dechow Model 1/F-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved mapping,DEC2011; BUI2021,DEC2011 Table 3 and Model 1; BUI2021 Table 1,ΔInventory / Average total assets,inventory; total assets,At least t and t-1; change ROA requires t-2,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
13,dechow_soft_assets,Percentage of Soft Assets,Tỷ lệ tài sản mềm,Canonical models,Dechow Model 1/F-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved mapping,DEC2011; BUI2021,DEC2011 Table 3 and Model 1; BUI2021 Table 1,(Total assets - Net PPE - Cash and cash equivalents) / Total assets,total assets; net PPE; cash and cash equivalents,At least t and t-1; change ROA requires t-2,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
14,dechow_change_cash_sales,Change in Cash Sales,Thay đổi doanh thu tiền mặt,Canonical models,Dechow Model 1/F-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved mapping,DEC2011; BUI2021,DEC2011 Table 3 and Model 1; BUI2021 Table 1,Percentage change in [Sales - ΔAccounts receivable],sales; accounts receivable,At least t and t-1; change ROA requires t-2,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
15,dechow_change_roa,Change in Return on Assets,Thay đổi tỷ suất sinh lợi trên tài sản,Canonical models,Dechow Model 1/F-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved mapping,DEC2011; BUI2021,DEC2011 Table 3 and Model 1; BUI2021 Table 1,[Earnings_t/Average assets_t] - [Earnings_t-1/Average assets_t-1],"earnings; total assets for t, t-1 and t-2",At least t and t-1; change ROA requires t-2,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
16,dechow_actual_issuance,Actual Issuance Indicator,Biến chỉ báo phát hành thực tế,Canonical models,Dechow Model 1/F-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved mapping,DEC2011; BUI2021,DEC2011 Table 3 and Model 1; BUI2021 Table 1,1 if debt securities or equity securities were issued during year t; 0 otherwise,debt issuance; equity issuance,At least t and t-1; change ROA requires t-2,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
17,dechow_f_score_model1,Dechow Model 1 F-score,Điểm F theo Mô hình 1 của Dechow,Canonical models,Dechow Model 1/F-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Fixed-score benchmark after seven components pass,DEC2011; BUI2021,DEC2011 Model 1 coefficient example,Predicted value = -7.893 + 0.790*RSST + 2.518*ΔREC + 1.191*ΔINV + 1.979*SOFT + 0.171*ΔCASHSALES - 0.932*ΔROA + 1.029*ISSUE; F-score = predicted probability / unconditional probability,seven Dechow Model 1 components; training-sample unconditional probability,"At least t, t-1 and selected t-2 inputs",latent_risk_content,continuous,medium,LOCK_CANDIDATE_AFTER_ALL_COMPONENTS_PASS,,,,,,,,,,,,,,,,Published fixed-score and re-estimated seven-component specification should be reported separately.
18,tran_gpm,Gross Profit Margin,Tỷ lệ lãi gộp,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,(Net sales_t - COGS_t) / Net sales_t,net sales; COGS,t,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
19,tran_average_asset_growth,Average Asset Growth over Two Prior Years,Tốc độ tăng trưởng tài sản bình quân của hai năm liền trước,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,Average of asset growth from t-3→t-2 and t-2→t-1,"total assets t-1, t-2, t-3",t-1 to t-3,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
20,tran_earnings_cfo_gap,Earnings–Operating Cash Flow Gap,Chênh lệch lợi nhuận và dòng tiền hoạt động,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,(Profit after tax_t - Operating cash flow_t) / Total assets_t,profit after tax; operating cash flow; total assets,t,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
21,tran_sales_receivables,Sales to Receivables,Tỷ lệ doanh thu trên nợ phải thu,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,Net sales_t / Net receivables_t,net sales; net receivables,t,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
22,tran_sales_assets,Sales to Total Assets,Tỷ lệ doanh thu trên tổng tài sản,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,Net sales_t / Total assets_t,net sales; total assets,t,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
23,tran_inventory_assets,Inventory to Total Assets,Tỷ trọng hàng tồn kho trên tổng tài sản,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,Inventory_t / Total assets_t,inventory; total assets,t,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
24,tran_prior_loss,Prior-year Loss Indicator,Biến chỉ báo lỗ năm trước liền kề,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,1 if profit in t-1 < 0; otherwise 0,profit t-1,t-1,latent_risk_content,binary,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
25,tran_two_year_negative_cfo,Two-year Negative Operating Cash Flow Indicator,Biến chỉ báo dòng tiền hoạt động âm trong hai năm trước,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,1 if operating cash flow is negative in both t-1 and t-2; otherwise 0,operating cash flow t-1 and t-2,t-1 and t-2,latent_risk_content,binary,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
26,tran_zscore_distress,Altman Z-score Distress Indicator,Biến chỉ báo kiệt quệ theo Z-score,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,1 if the specified Z-score is below the paper's cutoff; otherwise 0,Altman Z-score inputs,t or lagged as specified,latent_risk_content,binary,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
27,tran_leverage,Debt Leverage,Đòn cân nợ,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,(Short-term borrowings_t + Long-term borrowings_t) / Total assets_t,short-term borrowings; long-term borrowings; total assets,t,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
28,tran_self_financing_capacity,Self-financing Capacity,Khả năng tự tài trợ,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,(Operating cash flow_t - three-year average capital expenditure) / Current assets_t-1,operating cash flow; capital expenditure; current assets,t and prior three years,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
29,tran_financing_need,External Financing Need,Nhu cầu huy động vốn,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,(Operating cash flow_t - cash dividends_t - capital expenditure_t) / Total assets_t,operating cash flow; cash dividends; capital expenditure; total assets,t,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
30,tran_roa_ending_assets,Return on Assets using Ending Assets,Tỷ suất sinh lợi trên tổng tài sản cuối kỳ,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,Profit after tax_t-1 / Total assets_t,profit after tax t-1; ending total assets t,t and t-1,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
31,tran_change_receivables_sales,Change in Receivables-to-Sales,Thay đổi tỷ lệ phải thu trên doanh thu,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,(Net receivables_t/Sales_t) - (Net receivables_t-1/Sales_t-1),net receivables; sales,t and t-1,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
32,tran_change_inventory_sales,Change in Inventory-to-Sales,Thay đổi tỷ lệ hàng tồn kho trên doanh thu,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,(Inventory_t/Sales_t) - (Inventory_t-1/Sales_t-1),inventory; sales,t and t-1,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
33,tran_ceo_duality,CEO–Chair Duality,Kiêm nhiệm Chủ tịch HĐQT và Tổng giám đốc,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,1 if the board chair concurrently serves as CEO; otherwise 0,board-chair and CEO roles,known at anchor,latent_risk_content,binary,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
34,tran_non_big4_auditor,Non-Big-Four Auditor Indicator,Biến chỉ báo công ty kiểm toán không thuộc Big Four,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,1 if auditor is not a Big Four firm; otherwise 0,auditor identity,known at anchor,ambiguous_content_and_label_mechanism,binary,medium,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
35,tran_auditor_change_2y,Auditor Change within Prior Two Years,Thay đổi kiểm toán viên trong hai năm trước,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,1 if the independent auditor changed within the prior two years; otherwise 0,auditor identity history,t-1 and t-2,ambiguous_content_and_label_mechanism,binary,medium,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
36,tran_nonclean_audit_opinion,Non-clean Audit Opinion Indicator,Biến chỉ báo ý kiến kiểm toán không phải chấp nhận toàn phần,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,1 if the relevant prior audit opinion is non-clean; otherwise 0,audit opinion,must be lagged/available at anchor,ambiguous_content_and_label_mechanism,binary,medium,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
37,tran_prior_profit_adjustment_count,Prior Pre/Post-audit Profit-adjustment Count,Số lần chênh lệch lợi nhuận trước–sau kiểm toán trong ba năm trước,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,Count of prior three fiscal years with a pre/post-audit profit difference,authorized pre/post profit pairs,t-1 to t-3,latent_risk_content,continuous,high,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
38,tran_firm_size,Firm Size,Quy mô doanh nghiệp,Vietnam published benchmarks,Tran VSA 240/Fraud Triangle,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CANDIDATE_SET,Complete Vietnam benchmark; report as one prespecified block,TRA2015,TRA2015 variable definitions and Model 1,Natural logarithm of audited total assets,audited total assets,t,ambiguous_content_and_label_mechanism,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,Do not restrict the benchmark to the variables retained by the paper's univariate/backward screening.
39,bui_firm_age,Firm Age,Tuổi doanh nghiệp,Vietnam published benchmarks,Bui M-score/F-score controls,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CONTROL_BLOCK,Control block accompanying complete Beneish and Dechow replications,BUI2021,BUI2021 research model and Table 1,Number of years since incorporation,incorporation date,t,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,
40,bui_firm_size,Firm Size,Quy mô doanh nghiệp,Vietnam published benchmarks,Bui M-score/F-score controls,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CONTROL_BLOCK,Control block accompanying complete Beneish and Dechow replications,BUI2021,BUI2021 research model and Table 1,Natural logarithm of total assets,total assets,t,ambiguous_content_and_label_mechanism,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,
41,bui_big4_auditor,Big Four Auditor Indicator,Biến chỉ báo công ty kiểm toán Big Four,Vietnam published benchmarks,Bui M-score/F-score controls,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CONTROL_BLOCK,Control block accompanying complete Beneish and Dechow replications,BUI2021,BUI2021 research model and Table 1,1 if auditor belongs to Big Four; otherwise 0,auditor identity,known at anchor,ambiguous_content_and_label_mechanism,binary,medium,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,
42,bui_altman_zscore,Altman Z-score,Chỉ số Z của Altman,Vietnam published benchmarks,Bui M-score/F-score controls,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CONTROL_BLOCK,Control block accompanying complete Beneish and Dechow replications,BUI2021,BUI2021 research model and Table 1,Published Altman Z-score formula used by the paper,Altman Z-score inputs,t,latent_risk_content,continuous,low,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,
43,bui_listing_status,Main-exchange Listing Status,Tình trạng niêm yết trên HOSE/HNX,Vietnam published benchmarks,Bui M-score/F-score controls,C2_VIETNAM_FULL_BENCHMARK,COMPLETE_PUBLISHED_CONTROL_BLOCK,Control block accompanying complete Beneish and Dechow replications,BUI2021,BUI2021 research model and Table 1,1 if listed on HOSE or HNX; 0 for UPCoM in the study,listing board,t,ambiguous_content_and_label_mechanism,binary,medium,LOCK_AS_COMPLETE_BLOCK_AFTER_MAPPING,,,,,,,,,,,,,,,,
44,zhpu_wc_acc,Working-capital Accruals (wc_acc),Dồn tích vốn lưu động,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
45,zhpu_ch_rec,Change in Receivables (ch_rec),Thay đổi khoản phải thu,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
46,zhpu_ch_inv,Change in Inventory (ch_inv),Thay đổi hàng tồn kho,Recent PU specifications,Zhang 2025 PU ratio block,C3_RECENT_PU_FULL_BLOCK,COMPLETE_PUBLISHED_RATIO_BLOCK,Replicate the complete 13-ratio block only after exact source transcription,ZHPU2025,ZHPU2025 Table A3,Formula must be transcribed exactly from Table A3 before locking.,raw concepts from the published 28-item block,mostly t and t-1,latent_risk_content,continuous,low,SOURCE_FORMULA_TRANSCRIPTION_REQUIRED,,,,,,,,,,,,,,,,The abbreviation/name is source-grounded; Codex must not infer or alter the formula.
